# timestamp tx ty tz qx qy qz qw
1773115262.808596373 14.144801250 20.230305027 -0.978445788 -0.114962363 -0.061460788 0.965619995 -0.224909432
1773115262.906102180 14.145977374 20.228884521 -0.979613352 -0.113170532 -0.060640986 0.965723428 -0.225595571
1773115263.100092649 14.148482347 20.226064535 -0.980088245 -0.112529018 -0.059567843 0.965566851 -0.226869010
1773115263.124808311 14.149354358 20.224946961 -0.981907251 -0.114195028 -0.057351217 0.965125410 -0.228480365
1773115263.223273277 14.151664120 20.223588523 -0.984020081 -0.114175372 -0.057374636 0.964565694 -0.230835780
1773115263.313215256 14.152276765 20.222234678 -0.986026065 -0.117253749 -0.058771968 0.963979154 -0.231390587
1773115263.417456627 14.152846192 20.221686399 -0.985176541 -0.119666103 -0.056510405 0.963571623 -0.232414125
1773115263.510625839 14.154951329 20.219905220 -0.984146198 -0.119500808 -0.056418499 0.962895777 -0.235304553
1773115263.604232788 14.155609339 20.217906382 -0.982663948 -0.118336923 -0.055338505 0.962644830 -0.237168618
1773115263.711095333 14.156332809 20.215928227 -0.982226220 -0.118795413 -0.050793780 0.962420950 -0.238858862
1773115263.907935381 14.158312480 20.214387361 -0.979301651 -0.119446788 -0.047735427 0.961911985 -0.241203499
1773115263.938931227 14.161865726 20.211951712 -0.980812384 -0.119804733 -0.051237609 0.961146311 -0.243350166
1773115264.003134966 14.163069891 20.210535650 -0.980686790 -0.121240065 -0.052096924 0.960460997 -0.245155931
1773115264.109461308 14.164829327 20.209545664 -0.979834182 -0.121783557 -0.052816944 0.959878028 -0.247008720
1773115264.224045277 14.166652052 20.208089221 -0.980215284 -0.121945411 -0.054322256 0.959299023 -0.248844921
1773115264.317706585 14.167748908 20.206687853 -0.979667677 -0.120705148 -0.054634179 0.959055508 -0.250315612
1773115264.407269716 14.168484812 20.206676136 -0.979233107 -0.120237244 -0.053880778 0.959038681 -0.250768171
1773115264.519238710 14.168828031 20.206703209 -0.979219894 -0.122592615 -0.052104880 0.958694009 -0.251320373
1773115264.733211994 14.169118571 20.208077324 -0.979282679 -0.122398603 -0.053965108 0.958716798 -0.250935152
1773115264.765261412 14.170352372 20.207186887 -0.979848030 -0.123543978 -0.053655920 0.958312322 -0.251982977
1773115264.797269821 14.170955962 20.206512368 -0.980106834 -0.123844111 -0.051851155 0.958371823 -0.251987187
1773115264.910492182 14.170706339 20.205121091 -0.981162401 -0.124927994 -0.052888257 0.958006334 -0.252625598
1773115265.010229588 14.170623723 20.203354143 -0.981065709 -0.124470474 -0.053565535 0.957735321 -0.253733897
1773115265.114495516 14.170755851 20.203751851 -0.981004952 -0.124545838 -0.053050640 0.957497001 -0.254702683
1773115265.220076084 14.170741714 20.204425809 -0.981472768 -0.124440994 -0.053817675 0.957480591 -0.254654695
1773115265.306394100 14.170073312 20.204173529 -0.984052883 -0.124869086 -0.055962716 0.957189156 -0.255078037
1773115265.489043713 14.170819363 20.204237940 -0.985051239 -0.125717897 -0.057065974 0.956901965 -0.255493865
1773115265.518385172 14.170506655 20.204328906 -0.984961705 -0.124489057 -0.059894828 0.956761371 -0.255974146
1773115265.612495899 14.171216549 20.204035782 -0.985235081 -0.123667654 -0.060552921 0.956400707 -0.257560368
1773115265.708427191 14.171324790 20.203447808 -0.985939025 -0.124868181 -0.061269951 0.955831763 -0.258920011
1773115265.803407192 14.172636425 20.202143447 -0.985321332 -0.123509279 -0.062048214 0.955672149 -0.259973499
1773115265.906464100 14.173644467 20.201237581 -0.984670703 -0.123726803 -0.061202711 0.955585376 -0.260389124
1773115266.010197163 14.174034443 20.200575121 -0.984775733 -0.124323238 -0.060644420 0.955493216 -0.260573790
1773115266.108278751 14.175499970 20.199534338 -0.985750573 -0.125975449 -0.060883423 0.954984837 -0.261586232
1773115266.334825754 14.176755683 20.199028910 -0.984014530 -0.125496842 -0.062878295 0.954298521 -0.263839338
1773115266.358322620 14.178625705 20.196047314 -0.985216460 -0.127476757 -0.060809755 0.952649472 -0.269278357
1773115266.397098780 14.181582663 20.192292019 -0.986231866 -0.128232706 -0.060449875 0.950543226 -0.276350792
1773115266.508011818 14.185357709 20.187210485 -0.987406981 -0.126748688 -0.063669037 0.948329071 -0.283818599
1773115266.617528200 14.189603728 20.183190838 -0.986025971 -0.126978438 -0.061769877 0.946339587 -0.290692869
1773115266.710569859 14.194779656 20.179512608 -0.986038762 -0.130363259 -0.055383860 0.944524660 -0.296329573
1773115266.803433657 14.201486354 20.174142970 -0.986671534 -0.133287558 -0.054729607 0.941526623 -0.304576287
1773115266.909501553 14.207791302 20.168465808 -0.987096121 -0.130899652 -0.060261841 0.938863585 -0.312680284
1773115267.084925890 14.211980531 20.164330665 -0.985058585 -0.129018500 -0.060727012 0.937296682 -0.318027337
1773115267.110749245 14.215541852 20.162734405 -0.984952778 -0.130565035 -0.057331388 0.935922351 -0.322048499
1773115267.230563641 14.218800184 20.159564378 -0.986887175 -0.132130661 -0.055989784 0.934409879 -0.326013513
1773115267.336821556 14.223459666 20.156779361 -0.989094740 -0.132557734 -0.057366392 0.932353928 -0.331441847
1773115267.407106400 14.228788959 20.151902731 -0.989422657 -0.131661096 -0.059258173 0.930327311 -0.337112621
1773115267.526051044 14.234163493 20.147256415 -0.989579717 -0.131770009 -0.060333935 0.928176082 -0.342761786
1773115267.605917931 14.239619474 20.141954140 -0.989867144 -0.131844678 -0.061683505 0.925938079 -0.348497920
1773115267.712485552 14.244225268 20.138133654 -0.990266942 -0.132280215 -0.062750023 0.924302264 -0.352462345
1773115267.903038263 14.248053091 20.134137390 -0.991017401 -0.134576168 -0.062404605 0.922016164 -0.357604689
1773115268.240270376 14.261915184 20.122799874 -0.987585246 -0.135871195 -0.065662221 0.915401502 -0.373185720
1773115268.321644068 14.265905213 20.120565421 -0.985894294 -0.133403580 -0.066547540 0.913589014 -0.378325287
1773115268.415693045 14.269596171 20.116556755 -0.988362080 -0.133676885 -0.070619825 0.911809511 -0.381767922
1773115268.505631208 14.273318329 20.114086069 -0.990029268 -0.135518590 -0.068864905 0.910411106 -0.384764803
1773115268.607086658 14.277113356 20.110864867 -0.990463713 -0.138108848 -0.068090207 0.908626226 -0.388185588
1773115268.713740587 14.283008401 20.107929018 -0.990192779 -0.138388528 -0.067697132 0.906384934 -0.393359968
1773115268.813567638 14.289266109 20.103703340 -0.991482008 -0.139648009 -0.066782834 0.903845417 -0.398875857
1773115269.010083199 14.296586485 20.098992239 -0.992367936 -0.140342695 -0.067643186 0.901116590 -0.404619845
1773115269.027633429 14.303917324 20.094769116 -0.993900489 -0.143230444 -0.068417504 0.898134149 -0.410072110
1773115269.100096941 14.310707527 20.091312209 -0.996108389 -0.144301945 -0.071023824 0.895742434 -0.414461164
1773115269.230548859 14.316666513 20.089118976 -0.997225460 -0.143624618 -0.071958237 0.893601564 -0.419130321
1773115269.310169220 14.320399774 20.086608074 -0.997297392 -0.141157011 -0.075771583 0.891984431 -0.422725845
1773115269.414383650 14.321811606 20.084673983 -0.997443654 -0.141671671 -0.076225784 0.890946696 -0.424656039
